link_id,tx_lat_deg,tx_lon_deg,rx_lat_deg,rx_lon_deg,tx_antenna_alt_m_asl,rx_antenna_alt_m_asl,mean_terrain_elevation_m_asl,provenance_note,expected_geodesic_distance_m
E3_SITE_01,45.558267734907965,-75.80877,45.58526,-75.80877,153.63009643554688,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2999.999999999214
E3_SITE_02,45.55376901160484,-75.80877,45.58526,-75.80877,190.5494842529297,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3499.9999999997594
E3_SITE_03,45.556018239044185,-75.80322428036298,45.58526,-75.80877,186.0605926513672,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3278.7192621517283
E3_SITE_04,45.556018239044185,-75.81431571963701,45.58526,-75.80877,122.30291748046876,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3278.7192621517283
E3_SITE_05,45.56051696055398,-75.80322383773411,45.58526,-75.80877,200.41256713867188,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2783.8821814155285
E3_SITE_06,45.56051696055398,-75.8143161622659,45.58526,-75.80877,133.56785583496094,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2783.8821814151743
E3_SITE_07,45.56276645465263,-75.80877,45.58526,-75.80877,153.03189086914062,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2499.999999999975
E3_SITE_08,45.54927028474327,-75.80877,45.58526,-75.80877,127.62879180908205,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3999.9999999988963
E3_SITE_09,45.55151951397594,-75.80322472289852,45.58526,-75.80877,133.5669708251953,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3774.9172176351626
E3_SITE_10,45.55376847300496,-75.79767900333783,45.58526,-75.80877,166.6072540283203,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3605.55127546406
E3_SITE_11,45.55151951397594,-75.81431527710149,45.58526,-75.80877,146.52000427246094,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3774.9172176348084
E3_SITE_12,45.558267196251705,-75.79767811817344,45.58526,-75.80877,176.43988037109375,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3122.4989991996936
E3_SITE_13,45.55376847300496,-75.81986099666217,45.58526,-75.80877,122.11679077148438,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3605.5512754640595
E3_SITE_14,45.56276591594,-75.79767723282235,45.58526,-75.80877,176.672119140625,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2645.7513110642317
E3_SITE_15,45.5582671962517,-75.81986188182655,45.58526,-75.80877,121.9888916015625,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,3122.4989992000487
E3_SITE_16,45.56501567850536,-75.80322339501187,45.58526,-75.80877,213.3984222412109,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2291.2878474765375
E3_SITE_17,45.56276591594,-75.81986276717765,45.58526,-75.80877,150.3018798828125,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2645.7513110642317
E3_SITE_18,45.56501567850536,-75.81431660498814,45.58526,-75.80877,170.80661010742188,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,2291.287847477598
E3_SITE_19,45.5672651708389,-75.80877,45.58526,-75.80877,178.78836059570312,290.8760070800781,,Modelled E3 unique-site terrain/P.452 preparation; one propagation path per site shared by its three co-located sectors; not a paper result.,1999.9999999987501
