user_index,user_id,diagnosed_interval_count,seed_count,minimum_current_load_nominal_rate,minimum_optimistic_total_rate,maximum_floor,serviceability_mismatch_count
0,E3_SITE_01_SEC_1_UE_1,200,1,0.8169329277011268,1.257479562086446,0.7352396349310142,0
8,E3_SITE_01_SEC_3_UE_1,4,1,0.1553866015919468,1.050514370304806,0.1398479414327521,0
18,E3_SITE_02_SEC_2_UE_3,100,1,0.0717515203156873,0.5840243361976871,0.1,100
26,E3_SITE_03_SEC_1_UE_3,300,1,0.1414137992486354,0.4934677696256703,0.4017842031611349,0
30,E3_SITE_03_SEC_2_UE_3,204,1,1.5202351280397512,1.657539671753112,2.0585193289959487,0
43,E3_SITE_04_SEC_2_UE_4,186,1,0.0862809138595112,0.4034821287602072,0.1,186
50,E3_SITE_05_SEC_1_UE_3,186,1,0.2904949214233014,0.6274578599253859,0.2614454292809712,0
55,E3_SITE_05_SEC_2_UE_4,4,1,0.0627953018466094,0.4265451020314587,0.1,4
68,E3_SITE_06_SEC_3_UE_1,20,1,1.3258239844171569,1.9751901552494908,1.193241585975441,0
75,E3_SITE_07_SEC_1_UE_4,200,1,0.1753201540979634,0.542517047319718,0.157788138688167,0
81,E3_SITE_07_SEC_3_UE_2,186,1,0.0778726347388416,0.2088005050341715,0.1,186
82,E3_SITE_07_SEC_3_UE_3,186,1,0.0864837837602068,0.3963097967971453,0.1,186
85,E3_SITE_08_SEC_1_UE_2,100,1,0.1044268309006016,0.4042619778716739,0.1,0
111,E3_SITE_10_SEC_1_UE_4,100,1,2.148924377292297,2.7857117486468885,1.934031939563067,0
121,E3_SITE_11_SEC_1_UE_2,4,1,1.0653925589227382,1.6854969158465578,0.9588533030304645,0
132,E3_SITE_12_SEC_1_UE_1,208,2,0.2623547283664146,0.5391797660233306,0.4365471398409129,0
139,E3_SITE_12_SEC_2_UE_4,86,1,4.175855935059626,4.727295208104321,3.758270341553663,0
151,E3_SITE_13_SEC_2_UE_4,244,1,0.0585293364396955,0.3780441895207833,0.1,244
156,E3_SITE_14_SEC_1_UE_1,100,1,0.4615576494222341,0.9639999783652634,0.4154018844800107,0
157,E3_SITE_14_SEC_1_UE_2,186,1,1.0322549385807984,1.5056454772470718,0.9290294447227186,0
158,E3_SITE_14_SEC_1_UE_3,4,1,0.093598920510612,0.3975030836505352,0.1,4
178,E3_SITE_15_SEC_3_UE_3,200,1,0.4354593073905303,0.7686405847873274,0.3919133766514773,0
185,E3_SITE_16_SEC_2_UE_2,204,1,0.3560740890214566,0.651281266075489,0.9249216183370964,0
194,E3_SITE_17_SEC_1_UE_3,100,1,0.0645671759746283,0.4679590010534178,0.1,100
204,E3_SITE_18_SEC_1_UE_1,200,1,0.7608670219366274,1.0903296810282668,0.6847803197429646,0
206,E3_SITE_18_SEC_1_UE_3,4,1,0.493915772745612,1.156192328526748,0.4445241954710509,0
211,E3_SITE_18_SEC_2_UE_4,200,1,0.1420426744441381,0.4501584774793731,0.1278384069997243,0
219,E3_SITE_19_SEC_1_UE_4,300,1,0.537566724432956,0.8276703930895155,0.7081528873558094,0
